date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:39	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Feb%202017%2013:53:30%20GMT	http://html.templines.com/robots.txt		(from )
21:54:24	31763/31763	---MCZ	200	added ('OK')	text/html	etag:W/%22394e858-7c13-5160ab56f2f40%22	http://html.templines.com/shoptime-html/bath/	F:/wamp/wed3/html.templines.com/shoptime-html/bath/index.html	(from )
21:54:25	895/895	---M--	200	added ('OK')	text/css	etag:%225554a33f-37f%22	http://html.templines.com/shoptime-html/bath/css/master.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/master.css	(from http://html.templines.com/shoptime-html/bath/)
21:54:26	1946/1946	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33e-79a%22	http://html.templines.com/shoptime-html/bath/css/color11.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/color11.css	(from http://html.templines.com/shoptime-html/bath/)
21:54:27	3091/3091	---M--	200	added ('OK')	image/png	etag:%225554a342-c13%22	http://html.templines.com/shoptime-html/bath/images/logo.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/images/logo.png	(from http://html.templines.com/shoptime-html/bath/)
21:54:27	31763/31763	---MCZ	200	added ('OK')	text/html	etag:W/%22394e858-7c13-5160ab56f2f40%22	http://html.templines.com/shoptime-html/bath/index.html	F:/wamp/wed3/html.templines.com/shoptime-html/bath/index-2.html	(from http://html.templines.com/shoptime-html/bath/)
21:54:28	35597/35597	---MCZ	200	added ('OK')	text/html	etag:W/%22394e856-8b0d-5160ab56f2f40%22	http://html.templines.com/shoptime-html/bath/catalog.html	F:/wamp/wed3/html.templines.com/shoptime-html/bath/catalog.html	(from http://html.templines.com/shoptime-html/bath/)
21:54:29	19694/19694	---MCZ	200	added ('OK')	text/html	etag:W/%22394e857-4cee-5160ab56f2f40%22	http://html.templines.com/shoptime-html/bath/contact.html	F:/wamp/wed3/html.templines.com/shoptime-html/bath/contact.html	(from http://html.templines.com/shoptime-html/bath/)
21:54:29	37443/37443	---MCZ	200	added ('OK')	text/html	etag:W/%22394e859-9243-5160ab56f2f40%22	http://html.templines.com/shoptime-html/bath/product.html	F:/wamp/wed3/html.templines.com/shoptime-html/bath/product.html	(from http://html.templines.com/shoptime-html/bath/)
21:54:29	28035/28035	---MCZ	200	added ('OK')	text/html	etag:W/%22394e853-6d83-5160ab56f2f40%22	http://html.templines.com/shoptime-html/bath/blog.html	F:/wamp/wed3/html.templines.com/shoptime-html/bath/blog.html	(from http://html.templines.com/shoptime-html/bath/)
